#0:PFC	1:FBS_max	2:Gene1	3:Gene2	4:FBS_PPI	5:FBS_Metabolic	6:FBS_Signaling	7:FBS_Complex	8:LLR_MEX	9:LLR_PIN	10:LLR_SCL	11:LLR_PHP	12:LLR_MIR	13:LLR_TFB	14:LLR_PEX	15:LLR_GIN	16:LLR_DOM	17:LLR_QMS	18:LLR_HSA	19:LLR_MMU	20:LLR_RNO	21:LLR_CFA	22:LLR_GGA	23:LLR_DRE	24:LLR_CIN	25:LLR_DME	26:LLR_CEL	27:LLR_BTA	28:LLR_SCE	29:LLR_ATH	30:LLR_SPO	31:LLR_BSU	32:LLR_ECO	33:LLR_PFA	34:LLR_OSA	35:Max_category
1.000	18.357	TIF2	PGI1	11.959	14.523	-0.219	18.357	3.151	9.001	0.680	2.331	0.089	0.855	-0.075			2.324	3.684	2.760	-0.152	0.580	1.024	0.187		2.693	-0.056	0.757	11.219	-0.185	-0.201	0.180		2.509	-0.270	Complex
1.000	23.707	RPL8B	OLA1	13.401	16.546	-1.726	23.707	5.821	12.538	0.000	2.331	-0.093	1.073	-0.075			2.111	3.837	0.774	2.872	1.113	0.475	0.080		0.456	0.710		19.965	4.466	0.523			1.870		Complex
1.000	14.912	FAS1	ARG4	5.763	4.672	0.592	14.912	0.222	12.190	0.000	-0.175		2.674															14.925		-0.185					Complex
1.000	16.686	PRO2	PGK1	3.724	4.236	-0.752	16.686	0.789	12.000	-0.278	2.029	0.089	0.855	-0.075			1.276	-0.515	-0.292	-0.520	-0.365	0.795			0.379	0.366	-0.206	15.024	0.759	-0.201	0.000	-0.243		0.196	Complex
0.907	9.185	RPS7A	SPE3	9.185	9.183	-6.516	3.899	5.602	0.850	-0.668	0.974		1.134	0.000			1.293	2.498	2.404	4.628		-0.318	-0.159		-0.354	0.622	0.173	3.725	0.789	2.283			0.315	-0.670	PPI
1.000	17.347	FAS1	ASC1	7.235	8.198	-0.003	17.347	3.141	12.179	0.680	0.275		1.073															17.364		-0.201					Complex
1.000	16.564	ILV5	PRP43	5.791	6.536	-2.009	16.564	2.873	12.125	-0.278	0.989		0.855															15.976	1.761	-0.201		-0.243		0.221	Complex
1.000	22.723	OLA1	PGI1	14.216	13.651	-6.067	22.723	3.130	12.806	-0.278	4.009	-0.093	0.650	0.000			2.499	3.426	1.723	1.461	0.182	-0.203	-0.091		0.009	1.229		18.242	1.265	-0.016	0.180	0.208	1.568		Complex
1.000	26.014	RPL8B	HSP60	15.238	15.036	1.984	26.014	4.994	14.367	0.000	2.029	-0.093	1.925	-0.075			2.867	4.768	3.677	1.836		-0.114	1.664		-0.580	-0.074		15.714	5.495	0.242			1.252		Complex
1.000	24.094	TIF2	KRS1	12.949	12.814	-3.142	24.094	4.886	13.855	0.000	2.331	0.089	0.324	0.075		0.210	2.324	4.409	3.125	1.271	-0.365	0.557			0.020	0.596	0.474	19.632	2.222	-0.201	0.470		1.263	1.695	Complex
1.000	27.234	OLA1	KRS1	16.907	20.206	-1.142	27.234	5.665	13.908	0.000	4.009	0.089	0.683	0.381			2.499	6.495	4.083	1.961	0.525	-0.185			1.302	1.516		19.470	4.672	0.958	0.470	-0.243	1.284		Complex
1.000	16.045	RVB2	DHH1	3.411	4.727	-2.534	16.045	1.728	13.481	0.000	2.029	0.089	-0.789	-0.075		0.210	-0.629	0.632	0.882	-0.627	0.589		-0.720		1.184	-0.111		14.877	-0.567	0.084			-0.439	0.326	Complex
1.000	15.462	FAS1	KRS1	4.312	5.274	-2.120	15.462	2.185	12.179	-0.278	0.693		0.683															15.446		0.242					Complex
1.000	19.250	RPL8B	RPB8	13.056	13.367	-3.251	19.250	4.598	12.014	0.000	2.331	0.089	0.618	-0.075			-0.325	1.420	1.011	1.488		0.022	0.080		0.696	-0.081	0.000	19.306	-0.028	-0.201			1.009	-0.479	Complex
1.000	26.836	RPS8A	TEF4	15.969	19.325	-3.270	26.836	6.710	14.368	0.680	1.364	-0.093	1.663	-0.075			2.218	4.954	5.119	2.774	0.665				0.264	1.510	0.474	19.569	4.684	0.242			0.643	5.141	Complex
1.000	16.821	TIF2	ARG4	6.795	4.879	-4.465	16.821	2.437	11.903	0.000	0.788	0.089	0.683	-0.075			0.995	0.078	0.389	0.808	-0.158	-0.114	-0.091		-0.710			14.740	1.304	-0.185	-0.674			1.306	Complex
1.000	18.998	ATP1	PAB1	9.164	9.087	-2.601	18.998	0.934	14.588	0.000	2.029	-0.093	0.324	-0.075			1.290	4.017	2.508	-0.597	0.215	-0.105	0.080		-0.112	0.108	-0.206	16.369	-0.841	-0.016			-1.286		Complex
1.000	15.466	RVB2	PNP1	2.183	0.116	-3.957	15.466	0.735	13.593	-0.278	0.601	-0.093	-0.621	-0.075			1.604	2.734	1.575	0.121	0.479		-0.091		-0.615	-0.534		11.596		-0.185					Complex
1.000	26.949	RPS7A	TEF4	16.319	18.088	0.600	26.949	6.781	13.797	0.680	1.364	0.089	1.663	0.075			2.499	8.337	4.301	2.742	0.486				0.524	1.010	0.474	19.167	4.318	0.523			0.622	5.025	Complex
1.000	14.819	FAS1	PGI1	3.744	3.697	-1.018	14.819	1.370	12.179	-0.278	0.693		0.855															14.805		0.242					Complex
1.000	15.313	RPS8A	TFB1	5.223	3.817	-3.038	15.313	1.878	12.053	-0.278	0.601		1.764	0.000			-0.704	0.225	0.778	1.225	0.536	0.102	-0.091		-0.217		0.757	13.670	-0.626	-0.201				0.174	Complex
1.000	18.718	RVB2	CAA42329	5.316	4.950	-2.933	18.718	1.682	13.738		2.331	0.089		-0.075			0.953	2.267	0.088	0.422	0.219		0.000		-0.383	0.638		14.522	-0.837	-0.201			1.252	0.766	Complex
0.999	13.885	TIF6	MAE1	2.905	0.818	-4.176	13.885	0.097	12.015	0.293	1.163		0.618	0.075			-0.377	-0.341	-0.979	-0.668	-0.263	-0.303	-0.548		-0.522	0.410	0.474	14.888	-0.571	-0.016				-0.619	Complex
1.000	26.863	ATP1	PGK1	18.841	20.372	2.035	26.863	3.795	15.322	0.000	2.850	0.089	2.173	-0.075			2.709	3.902	1.949	1.229	1.237	1.826	1.943		1.374	2.914	-0.206	17.272	2.370	-0.201	0.356	1.618	-0.405		Complex
1.000	15.140	FAS2	TIF1	2.985	4.385	-2.513	15.140	1.853	12.179	0.000	0.253		0.855															15.207		-0.201					Complex
1.000	20.023	TIF2	ASC1	15.696	19.647	-0.575	20.023	5.251	7.517	0.680	2.331	0.089	1.545	0.075		0.210	2.324	5.870	2.490	1.587	0.118	-0.177	0.187		0.497	0.613		14.565	1.984	0.242			2.568	1.873	Complex
1.000	36.198	RPL8B	RPL13B	33.432	36.198	11.544	24.776	12.081	7.771	3.320	3.031	0.175	6.610	0.169			3.040	12.902	6.514	9.980	2.351	4.116			5.098	9.101	0.663	24.642	9.838	5.286			4.122	8.361	Metabolic
1.000	24.621	RPS7A	TIF1	13.697	12.022	1.599	24.621	5.230	13.797	0.680	1.163	0.089	0.958	0.381			2.324	5.382	3.162	2.658	-0.282	1.618	0.080		0.138	0.554	0.000	17.894	1.984	0.242			1.557	1.769	Complex
1.000	22.832	RVB2	RPL13B	12.346	12.504	-4.673	22.832	4.237	13.798	0.000	2.959	0.089	0.221	-0.075			1.604	4.156	1.923	2.215	-0.222				0.450	-0.272		17.219	-0.438	-0.201			0.555	3.444	Complex
0.999	14.328	ILV5	ARO1	5.022	4.403	0.295	14.328	1.433	12.179	-0.278	-0.226		1.220															14.339		-0.016					Complex
1.000	20.107	ATP1	PRP43	9.253	10.493	-5.025	20.107	3.142	13.467	0.000	2.029	-0.093	-0.301	-0.075			1.939	3.999	1.206	1.950	1.197	0.000	0.187		0.448	0.705	-0.206	14.322	0.266	-0.201		-0.243	-0.439		Complex
1.000	14.927	FAS2	MAE1	4.572	3.420	-1.862	14.927	1.064	12.179	-0.278	0.253		1.710															14.592		0.523					Complex
1.000	21.878	ATP1	RPL20A	10.296	12.760	-4.280	21.878	3.042	13.590	0.000	2.029		0.683	-0.075			2.610	3.601	0.255	1.540	0.458	0.000	1.836		0.074	0.364	-0.206	16.902	-0.858				-0.284		Complex
