#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PRE8	SCL1	633485	630898	4932.YML092C	4932.YGL011C	0	0	0	0.752	0.976	0.999	0.958	0.394	0.999
PRE8	PUP2	633485	631432	4932.YML092C	4932.YGR253C	0	0	0.288	0.837	0.980	0.997	0.958	0.732	0.999
PRE6	PUP3	634376	630628	4932.YOL038W	4932.YER094C	0	0	0	0	0.984	0.997	0.952	0.568	0.999
PRE4	PUP3	630877	630628	4932.YFR050C	4932.YER094C	0	0	0	0	0.985	0.997	0.958	0.588	0.999
RPO26	RPB8	635441	634756	4932.YPR187W	4932.YOR224C	0	0	0	0	0.500	0.999	0.900	0.970	0.999
PRE3	RPN11	632046	630823	4932.YJL001W	4932.YFR004W	0	0	0	0	0.504	0.999	0.952	0.127	0.999
RPB11	RPB5	634339	629214	4932.YOL005C	4932.YBR154C	0.057	0	0	0	0.654	0.997	0.900	0.904	0.999
PUP3	PRE1	630628	630520	4932.YER094C	4932.YER012W	0	0	0	0.672	0.982	0.997	0.958	0.899	0.999
PRE1	RPN5	630520	629716	4932.YER012W	4932.YDL147W	0	0	0	0	0.556	0.997	0.958	0.418	0.999
PUP2	PRE7	631432	628962	4932.YGR253C	4932.YBL041W	0	0	0	0	0.985	0.997	0.958	0.394	0.999
PRE2	PRE4	635342	630877	4932.YPR103W	4932.YFR050C	0	0	0	0	0.963	0.997	0.952	0.836	0.999
PRE10	PUP3	634903	630628	4932.YOR362C	4932.YER094C	0	0	0	0	0.948	0.997	0.958	0.414	0.999
GAL1	GAL10	629066	629065	4932.YBR020W	4932.YBR019C	0.560	0	0	0	0.996	0.719	0.959	0.936	0.999
RPO26	RPC10	635441	631710	4932.YPR187W	4932.YHR143W-A	0	0	0	0	0.621	0.997	0.900	0.951	0.999
PRE5	RPN5	633881	629716	4932.YMR314W	4932.YDL147W	0	0	0	0	0.335	0.997	0.958	0.081	0.999
PRE9	PUP3	631304	630628	4932.YGR135W	4932.YER094C	0	0	0	0	0.979	0.997	0.958	0.479	0.999
PRE3	PUP3	632046	630628	4932.YJL001W	4932.YER094C	0	0	0	0	0.980	0.997	0.952	0.394	0.999
PRE3	PRE7	632046	628962	4932.YJL001W	4932.YBL041W	0	0	0	0.661	0.982	0.997	0.952	0.394	0.999
PUP1	RPT6	634682	630937	4932.YOR157C	4932.YGL048C	0	0	0	0	0.853	0.997	0.900	0.517	0.999
PUP1	PRE3	634682	632046	4932.YOR157C	4932.YJL001W	0	0	0	0.782	0.972	0.997	0.936	0.394	0.999
RPT6	SCL1	630937	630898	4932.YGL048C	4932.YGL011C	0	0	0	0	0.764	0.997	0.900	0.394	0.999
RPB2	RPC10	634676	631710	4932.YOR151C	4932.YHR143W-A	0	0	0	0	0	0.995	0.900	0.931	0.999
RPB8	RPC10	634756	631710	4932.YOR224C	4932.YHR143W-A	0	0	0	0	0.383	0.997	0.900	0.951	0.999
SCL1	PRE4	630898	630877	4932.YGL011C	4932.YFR050C	0	0	0	0	0.922	0.997	0.958	0.394	0.999
PRE6	RPN5	634376	629716	4932.YOL038W	4932.YDL147W	0	0	0	0	0.368	0.997	0.952	0.387	0.999
PUP2	PUP3	631432	630628	4932.YGR253C	4932.YER094C	0	0	0	0	0.980	0.997	0.958	0.613	0.999
PRE2	PRE10	635342	634903	4932.YPR103W	4932.YOR362C	0	0	0	0	0.956	0.997	0.952	0.453	0.999
RPC19	RPB5	634016	629214	4932.YNL113W	4932.YBR154C	0.057	0	0	0	0.876	0.997	0.900	0.931	0.999
RPB2	RPB5	634676	629214	4932.YOR151C	4932.YBR154C	0.321	0	0	0	0.111	0.997	0.900	0.933	0.999
RPC19	RPC10	634016	631710	4932.YNL113W	4932.YHR143W-A	0	0	0	0	0.594	0.983	0.900	0.869	0.999
RPC40	RPB5	635350	629214	4932.YPR110C	4932.YBR154C	0.076	0	0	0	0.413	0.997	0.900	0.818	0.999
PRE3	SCL1	632046	630898	4932.YJL001W	4932.YGL011C	0	0	0	0	0.859	0.997	0.952	0.394	0.999
PRE10	PRE4	634903	630877	4932.YOR362C	4932.YFR050C	0	0	0	0	0.919	0.997	0.958	0.394	0.999
RPN11	PRE7	630823	628962	4932.YFR004W	4932.YBL041W	0	0	0	0	0.540	0.997	0.958	0.106	0.999
RPT6	PUP3	630937	630628	4932.YGL048C	4932.YER094C	0	0	0	0	0.621	0.993	0.900	0.503	0.999
RPO26	RPB11	635441	634339	4932.YPR187W	4932.YOL005C	0	0	0	0	0.536	0.997	0.900	0.930	0.999
PRE2	PRE5	635342	633881	4932.YPR103W	4932.YMR314W	0	0	0	0	0.944	0.997	0.952	0.152	0.999
PRE3	PRE9	632046	631304	4932.YJL001W	4932.YGR135W	0	0	0	0	0.979	0.997	0.952	0.126	0.999
SCL1	RPN11	630898	630823	4932.YGL011C	4932.YFR004W	0	0	0	0	0.704	0.999	0.958	0.104	0.999
PRE2	RPT6	635342	630937	4932.YPR103W	4932.YGL048C	0	0	0	0	0.681	0.997	0.900	0.808	0.999
PRE2	PRE6	635342	634376	4932.YPR103W	4932.YOL038W	0	0	0	0	0.842	0.997	0.936	0.291	0.999
PRE3	RPN5	632046	629716	4932.YJL001W	4932.YDL147W	0	0	0	0	0.406	0.997	0.952	0.113	0.999
RPT6	PRE4	630937	630877	4932.YGL048C	4932.YFR050C	0	0	0	0	0.752	0.997	0.900	0.708	0.999
PRE2	PUP3	635342	630628	4932.YPR103W	4932.YER094C	0	0	0	0.670	0.901	0.997	0.952	0.763	0.999
PRE8	PRE7	633485	628962	4932.YML092C	4932.YBL041W	0	0	0	0	0.982	0.997	0.958	0.394	0.999
PRE5	RPT6	633881	630937	4932.YMR314W	4932.YGL048C	0	0	0	0	0.769	0.997	0.900	0.295	0.999
PRE9	RPT6	631304	630937	4932.YGR135W	4932.YGL048C	0	0	0	0	0.909	0.997	0.900	0.419	0.999
PRE9	RPN11	631304	630823	4932.YGR135W	4932.YFR004W	0	0	0	0	0.731	0.999	0.958	0.433	0.999
PUP2	RPN11	631432	630823	4932.YGR253C	4932.YFR004W	0	0	0	0	0.496	0.999	0.958	0.326	0.999
PRE10	PRE6	634903	634376	4932.YOR362C	4932.YOL038W	0	0	0.375	0.799	0.917	0.997	0.952	0.345	0.999
PUP1	PRE6	634682	634376	4932.YOR157C	4932.YOL038W	0	0	0	0	0.886	0.997	0.936	0.290	0.999
RPB8	RPB10	634756	634742	4932.YOR224C	4932.YOR210W	0	0	0	0	0.417	0.997	0.900	0.951	0.999
PRE5	PUP2	633881	631432	4932.YMR314W	4932.YGR253C	0	0	0.384	0.827	0.982	0.997	0.958	0.394	0.999
PRE3	PRE1	632046	630520	4932.YJL001W	4932.YER012W	0	0	0	0.724	0.985	0.997	0.952	0.458	0.999
PRE5	PRE7	633881	628962	4932.YMR314W	4932.YBL041W	0	0	0	0	0.982	0.997	0.958	0.394	0.999
PRE2	RPN11	635342	630823	4932.YPR103W	4932.YFR004W	0	0	0	0	0.465	0.999	0.952	0.516	0.999
SCL1	PUP3	630898	630628	4932.YGL011C	4932.YER094C	0	0	0	0	0.919	0.997	0.958	0.394	0.999
PUP1	SCL1	634682	630898	4932.YOR157C	4932.YGL011C	0	0	0	0	0.962	0.997	0.952	0.357	0.999
PRE9	PRE7	631304	628962	4932.YGR135W	4932.YBL041W	0	0	0	0	0.980	0.997	0.958	0.394	0.999
GAL10	GAL7	629065	629064	4932.YBR019C	4932.YBR018C	0.560	0	0	0	0.994	0.524	0.959	0.931	0.999
PRE6	PRE3	634376	632046	4932.YOL038W	4932.YJL001W	0	0	0	0	0.875	0.997	0.936	0.083	0.999
PRE5	RPN11	633881	630823	4932.YMR314W	4932.YFR004W	0	0	0	0	0.535	0.999	0.958	0.106	0.999
PUP1	RPN11	634682	630823	4932.YOR157C	4932.YFR004W	0	0	0	0	0.445	0.999	0.952	0.295	0.999
PRE10	PRE7	634903	628962	4932.YOR362C	4932.YBL041W	0	0	0	0	0.962	0.997	0.958	0.394	0.999
PRE5	PRE9	633881	631304	4932.YMR314W	4932.YGR135W	0	0	0.386	0.798	0.980	0.997	0.958	0.394	0.999
PUP2	PRE4	631432	630877	4932.YGR253C	4932.YFR050C	0	0	0	0	0.982	0.997	0.958	0.551	0.999
PRE10	PUP1	634903	634682	4932.YOR362C	4932.YOR157C	0	0	0	0.648	0.909	0.997	0.952	0.408	0.999
GAL1	GAL7	629066	629064	4932.YBR020W	4932.YBR018C	0.321	0.046	0	0	0.959	0.524	0.959	0.911	0.999
PRE8	PRE3	633485	632046	4932.YML092C	4932.YJL001W	0	0	0	0	0.986	0.997	0.952	0.083	0.999
PRE8	RPT6	633485	630937	4932.YML092C	4932.YGL048C	0	0	0	0	0.668	0.995	0.900	0.522	0.999
RPT6	RPN5	630937	629716	4932.YGL048C	4932.YDL147W	0	0	0	0	0.558	0.997	0.900	0.893	0.999
RPS26A	RPL29	631081	630856	4932.YGL189C	4932.YFR032C-A	0	0	0	0	0.996	0.942	0.900	0.566	0.999
PRE8	PRE9	633485	631304	4932.YML092C	4932.YGR135W	0	0	0.319	0.865	0.979	0.999	0.958	0.808	0.999
PRE10	RPN11	634903	630823	4932.YOR362C	4932.YFR004W	0	0	0	0	0.561	0.999	0.958	0.224	0.999
RPC10	RPB5	631710	629214	4932.YHR143W-A	4932.YBR154C	0	0	0	0	0.356	0.997	0.900	0.951	0.999
PRE10	PRE1	634903	630520	4932.YOR362C	4932.YER012W	0	0	0	0	0.912	0.997	0.958	0.464	0.999
TFB3	KIN28	630322	629674	4932.YDR460W	4932.YDL108W	0	0	0	0	0.102	0.995	0.958	0.943	0.999
PRE8	PUP3	633485	630628	4932.YML092C	4932.YER094C	0	0	0	0	0.982	0.997	0.958	0.523	0.999
PRE6	SCL1	634376	630898	4932.YOL038W	4932.YGL011C	0	0	0.256	0.723	0.919	0.997	0.952	0.081	0.999
RPB10	RPC19	634742	634016	4932.YOR210W	4932.YNL113W	0	0	0	0	0.482	0.997	0.900	0.900	0.999
RPB8	RPC19	634756	634016	4932.YOR224C	4932.YNL113W	0	0	0	0	0.784	0.994	0.900	0.933	0.999
PUP1	PUP3	634682	630628	4932.YOR157C	4932.YER094C	0	0	0	0	0.915	0.997	0.952	0.892	0.999
RPB8	RPB2	634756	634676	4932.YOR224C	4932.YOR151C	0	0	0	0	0.066	0.999	0.900	0.929	0.999
PUP1	PUP2	634682	631432	4932.YOR157C	4932.YGR253C	0	0	0	0.649	0.970	0.997	0.952	0.607	0.999
UTP18	UTP6	632115	630311	4932.YJL069C	4932.YDR449C	0	0	0	0	0.982	0.868	0.900	0.960	0.999
PRE2	PUP1	635342	634682	4932.YPR103W	4932.YOR157C	0	0	0.233	0.712	0.976	0.997	0.936	0.927	0.999
PRE10	PRE5	634903	633881	4932.YOR362C	4932.YMR314W	0	0	0.244	0.776	0.984	0.999	0.958	0.394	0.999
RPO26	RPB5	635441	629214	4932.YPR187W	4932.YBR154C	0	0	0.231	0	0.784	0.999	0.900	0.951	0.999
PUP1	PRE9	634682	631304	4932.YOR157C	4932.YGR135W	0	0	0	0.650	0.979	0.997	0.952	0.575	0.999
PUP1	PRE8	634682	633485	4932.YOR157C	4932.YML092C	0	0	0	0.659	0.913	0.997	0.952	0.392	0.999
RPC40	RPC10	635350	631710	4932.YPR110C	4932.YHR143W-A	0	0	0	0	0.249	0.987	0.900	0.735	0.999
PUP2	RPN5	631432	629716	4932.YGR253C	4932.YDL147W	0	0	0	0	0.624	0.997	0.958	0.377	0.999
RPO26	RPC19	635441	634016	4932.YPR187W	4932.YNL113W	0	0	0	0	0.811	0.997	0.900	0.936	0.999
PRE5	PRE3	633881	632046	4932.YMR314W	4932.YJL001W	0	0	0	0	0.983	0.997	0.952	0.126	0.999
RPC40	RPB10	635350	634742	4932.YPR110C	4932.YOR210W	0.321	0	0	0	0.279	0.997	0.900	0.823	0.999
PRE10	RPT6	634903	630937	4932.YOR362C	4932.YGL048C	0	0	0	0	0.710	0.997	0.900	0.111	0.999
PRE6	PRE8	634376	633485	4932.YOL038W	4932.YML092C	0	0	0.220	0.836	0.956	0.997	0.952	0.672	0.999
RPB11	RPB3	634339	631829	4932.YOL005C	4932.YIL021W	0	0	0	0	0.179	0.999	0.924	0.930	0.999
PUP1	PRE7	634682	628962	4932.YOR157C	4932.YBL041W	0	0	0	0	0.955	0.997	0.952	0.394	0.999
PRE10	PRE8	634903	633485	4932.YOR362C	4932.YML092C	0	0	0.222	0.830	0.968	0.997	0.958	0.523	0.999
PRE2	RPN5	635342	629716	4932.YPR103W	4932.YDL147W	0	0	0	0	0.434	0.996	0.952	0.483	0.999
PRE3	PUP2	632046	631432	4932.YJL001W	4932.YGR253C	0	0	0	0	0.983	0.997	0.952	0.449	0.999
RPB10	RPB3	634742	631829	4932.YOR210W	4932.YIL021W	0.321	0	0	0	0.113	0.999	0.900	0.870	0.999
PRE5	PRE1	633881	630520	4932.YMR314W	4932.YER012W	0	0	0	0	0.981	0.997	0.958	0.111	0.999
PRE9	SCL1	631304	630898	4932.YGR135W	4932.YGL011C	0	0	0.288	0.773	0.981	0.997	0.958	0.394	0.999
PRE5	PRE8	633881	633485	4932.YMR314W	4932.YML092C	0	0	0.294	0.776	0.978	0.997	0.958	0.375	0.999
PRE2	PRE9	635342	631304	4932.YPR103W	4932.YGR135W	0	0	0	0	0.939	0.997	0.952	0.424	0.999
RPB10	RPC10	634742	631710	4932.YOR210W	4932.YHR143W-A	0	0	0	0	0.584	0.997	0.900	0.951	0.999
PRE4	PRE7	630877	628962	4932.YFR050C	4932.YBL041W	0	0	0	0	0.984	0.997	0.958	0.394	0.999
PRE8	RPN11	633485	630823	4932.YML092C	4932.YFR004W	0	0	0	0	0.416	0.995	0.958	0.081	0.999
PRE4	RPN11	630877	630823	4932.YFR050C	4932.YFR004W	0	0	0	0	0.670	0.999	0.958	0.185	0.999
PRE2	PRE3	635342	632046	4932.YPR103W	4932.YJL001W	0	0	0.389	0.735	0.983	0.997	0.936	0.503	0.999
PRE2	PRE7	635342	628962	4932.YPR103W	4932.YBL041W	0	0	0	0	0.982	0.997	0.952	0.394	0.999
RPN11	RPN5	630823	629716	4932.YFR004W	4932.YDL147W	0	0	0	0	0.671	0.999	0.958	0.934	0.999
RPB10	RPB5	634742	629214	4932.YOR210W	4932.YBR154C	0.053	0	0	0	0.461	0.997	0.900	0.951	0.999
PRE10	PRE9	634903	631304	4932.YOR362C	4932.YGR135W	0	0	0.375	0.804	0.982	0.997	0.958	0.570	0.999
RPB11	RPC10	634339	631710	4932.YOL005C	4932.YHR143W-A	0	0	0	0	0.196	0.997	0.900	0.930	0.999
PRE6	PUP2	634376	631432	4932.YOL038W	4932.YGR253C	0	0	0.204	0.842	0.964	0.997	0.952	0.675	0.999
RPB8	RPB11	634756	634339	4932.YOR224C	4932.YOL005C	0	0	0	0	0.475	0.997	0.900	0.903	0.999
RPN11	PRE1	630823	630520	4932.YFR004W	4932.YER012W	0	0	0	0	0.728	0.999	0.958	0.529	0.999
PRE5	PRE4	633881	630877	4932.YMR314W	4932.YFR050C	0	0	0	0	0.936	0.997	0.958	0.112	0.999
RPB8	RPB5	634756	629214	4932.YOR224C	4932.YBR154C	0	0	0	0	0.593	0.997	0.900	0.951	0.999
PRE9	PRE1	631304	630520	4932.YGR135W	4932.YER012W	0	0	0	0	0.980	0.997	0.958	0.628	0.999
PRE1	PRE7	630520	628962	4932.YER012W	4932.YBL041W	0	0	0	0	0.985	0.997	0.958	0.394	0.999
SCL1	PRE1	630898	630520	4932.YGL011C	4932.YER012W	0	0	0	0	0.954	0.997	0.958	0.105	0.999
RPN5	PRE7	629716	628962	4932.YDL147W	4932.YBL041W	0	0	0	0	0.656	0.997	0.958	0.081	0.999
RPO26	RPB2	635441	634676	4932.YPR187W	4932.YOR151C	0	0	0.217	0	0.097	0.999	0.900	0.933	0.999
RPB3	RPC10	631829	631710	4932.YIL021W	4932.YHR143W-A	0	0	0	0	0.096	0.999	0.900	0.930	0.999
RPC40	RPC19	635350	634016	4932.YPR110C	4932.YNL113W	0	0	0	0	0.586	0.997	0.958	0.951	0.999
PRE6	PRE7	634376	628962	4932.YOL038W	4932.YBL041W	0	0	0	0	0.984	0.997	0.952	0.138	0.999
RPC40	RPB8	635350	634756	4932.YPR110C	4932.YOR224C	0	0	0	0	0.369	0.997	0.900	0.925	0.999
PRE5	PUP3	633881	630628	4932.YMR314W	4932.YER094C	0	0	0	0	0.983	0.997	0.958	0.339	0.999
PUP3	PRE7	630628	628962	4932.YER094C	4932.YBL041W	0	0	0.251	0.702	0.982	0.997	0.958	0.394	0.999
PRE10	RPN5	634903	629716	4932.YOR362C	4932.YDL147W	0	0	0	0	0.516	0.997	0.958	0.385	0.999
RPT6	PRE7	630937	628962	4932.YGL048C	4932.YBL041W	0	0	0	0	0.853	0.997	0.900	0.295	0.999
PUP1	PRE4	634682	630877	4932.YOR157C	4932.YFR050C	0	0	0	0	0.878	0.997	0.952	0.448	0.999
RPN11	PUP3	630823	630628	4932.YFR004W	4932.YER094C	0	0	0	0	0.436	0.999	0.958	0.354	0.999
PRE9	RPN5	631304	629716	4932.YGR135W	4932.YDL147W	0	0	0	0	0.806	0.997	0.958	0.688	0.999
